round_number,rank,team_name,rounds_played,rounds_won,rounds_drawn,rounds_lost,matches_played,matches_won,matches_lost,matches_won_percent,points
16,11,Team 015,16,4,3,9,256,120,136,46.88,11
16,12,Team 009,16,4,1,11,256,106,150,41.41,9
16,13,Team 010,16,3,1,12,256,91,165,35.55,7
16,14,Team 016,16,1,2,13,256,60,196,23.44,4
16,15,Team 002,16,1,2,13,256,75,181,29.3,4
16,16,Team 013,16,2,0,14,256,63,193,24.61,4
17,1,Team 001,17,17,0,0,272,231,41,84.93,34
17,2,Team 011,17,11,4,2,272,171,101,62.87,26
17,3,Team 012,17,11,2,4,272,154,118,56.62,24
17,4,Team 003,17,11,2,4,272,175,97,64.34,24
17,5,Team 008,17,10,3,4,272,150,122,55.15,23
17,6,Team 014,17,9,5,3,272,158,114,58.09,23
17,7,Team 004,17,11,0,6,272,170,102,62.5,22
17,8,Team 007,17,10,0,7,272,148,124,54.42,20
17,9,Team 006,17,10,0,7,272,140,132,51.48,20
17,10,Team 005,17,6,3,8,272,137,135,50.37,15
17,11,Team 015,17,5,3,9,272,135,137,49.64,13
17,12,Team 009,17,4,1,12,272,106,166,38.98,9
17,13,Team 010,17,3,1,13,272,98,174,36.03,7
17,14,Team 016,17,1,2,14,272,61,211,22.43,4
17,15,Team 002,17,1,2,14,272,79,193,29.05,4
17,16,Team 013,17,2,0,15,272,63,209,23.17,4
18,1,Team 001,18,18,0,0,288,246,42,85.42,36
18,2,Team 011,18,12,4,2,288,184,104,63.89,28
18,3,Team 012,18,12,2,4,288,167,121,57.99,26
18,4,Team 003,18,12,2,4,288,184,104,63.89,26
18,5,Team 008,18,11,3,4,288,159,129,55.21,25
18,6,Team 014,18,10,5,3,288,171,117,59.38,25
18,7,Team 004,18,12,0,6,288,186,102,64.59,24
18,8,Team 007,18,10,0,8,288,155,133,53.82,20
18,9,Team 006,18,10,0,8,288,141,147,48.96,20
18,10,Team 005,18,6,3,9,288,144,144,50.0,15
18,11,Team 015,18,5,3,10,288,138,150,47.92,13
18,12,Team 009,18,4,1,13,288,109,179,37.85,9
18,13,Team 010,18,4,1,13,288,107,181,37.16,9
18,14,Team 016,18,1,2,15,288,64,224,22.23,4
18,15,Team 002,18,1,2,15,288,79,209,27.44,4
18,16,Team 013,18,2,0,16,288,70,218,24.31,4
19,1,Team 001,19,19,0,0,304,257,47,84.54,38
19,2,Team 011,19,13,4,2,304,195,109,64.15,30
19,3,Team 012,19,13,2,4,304,177,127,58.23,28
19,4,Team 008,19,12,3,4,304,168,136,55.27,27
19,5,Team 014,19,11,5,3,297,177,120,59.6,27
19,6,Team 003,19,12,2,5,304,190,114,62.5,26
19,7,Team 004,19,13,0,6,304,196,108,64.48,26
19,8,Team 007,19,11,0,8,304,164,140,53.95,22
19,9,Team 006,19,10,0,9,304,147,157,48.36,20
19,10,Team 005,19,6,3,10,304,149,155,49.02,15
19,11,Team 015,19,5,3,11,304,143,161,47.04,13
19,12,Team 010,19,5,1,13,304,116,188,38.16,11
19,13,Team 009,19,4,1,14,304,116,188,38.16,9
19,14,Team 016,19,1,2,16,304,71,233,23.36,4
19,15,Team 002,19,1,2,16,297,82,215,27.61,4
19,16,Team 013,19,2,0,17,304,77,227,25.33,4
20,1,Team 001,20,20,0,0,320,273,47,85.32,40
20,2,Team 011,20,13,4,3,320,198,122,61.88,30
20,3,Team 012,20,14,2,4,320,186,134,58.13,30
20,4,Team 008,20,13,3,4,320,178,142,55.63,29
20,5,Team 003,20,13,2,5,320,201,119,62.82,28
20,6,Team 004,20,14,0,6,320,211,109,65.94,28
20,7,Team 014,20,11,5,4,313,182,131,58.15,27
20,8,Team 007,20,12,0,8,320,177,143,55.32,24
20,9,Team 006,20,11,0,9,320,157,163,49.07,22
20,10,Team 005,20,6,3,11,320,156,164,48.75,15
20,11,Team 015,20,5,3,12,320,149,171,46.57,13
20,12,Team 010,20,5,1,14,320,123,197,38.44,11
20,13,Team 009,20,4,1,15,320,122,198,38.13,9
20,14,Team 002,20,2,2,16,313,91,222,29.08,6
20,15,Team 016,20,1,2,17,320,72,248,22.5,4
20,16,Team 013,20,2,0,18,320,77,243,24.07,4
21,1,Team 001,21,21,0,0,336,288,48,85.72,42
21,2,Team 012,21,15,2,4,336,199,137,59.23,32
21,3,Team 008,21,14,3,4,336,188,148,55.96,31
21,4,Team 003,21,14,2,5,336,216,120,64.29,30
21,5,Team 011,21,13,4,4,336,204,132,60.72,30
21,6,Team 004,21,15,0,6,336,221,115,65.78,30
21,7,Team 014,21,12,5,4,329,192,137,58.36,29
21,8,Team 007,21,13,0,8,336,191,145,56.85,26
21,9,Team 006,21,12,0,9,336,167,169,49.71,24
21,10,Team 005,21,6,3,12,336,162,174,48.22,15
21,11,Team 015,21,5,3,13,336,151,185,44.95,13
21,12,Team 010,21,5,1,15,336,124,212,36.91,11
21,13,Team 009,21,4,1,16,336,123,213,36.61,9
21,14,Team 002,21,2,2,17,329,97,232,29.49,6
21,15,Team 016,21,1,2,18,336,78,258,23.22,4
21,16,Team 013,21,2,0,19,336,80,256,23.81,4
22,1,Team 001,22,22,0,0,352,300,52,85.23,44
22,2,Team 012,22,16,2,4,352,210,142,59.66,34
22,3,Team 008,22,15,3,4,352,197,155,55.97,33
22,4,Team 011,22,14,4,4,352,216,136,61.37,32
22,5,Team 003,22,14,2,6,352,223,129,63.36,30
22,6,Team 004,22,15,0,7,352,228,124,64.78,30
22,7,Team 014,22,12,5,5,345,196,149,56.82,29
22,8,Team 007,22,14,0,8,352,200,152,56.82,28
22,9,Team 006,22,12,0,10,352,171,181,48.58,24
22,10,Team 005,22,7,3,12,352,173,179,49.15,17
22,11,Team 015,22,5,3,14,352,156,196,44.32,13
22,12,Team 010,22,6,1,15,352,135,217,38.36,13
22,13,Team 009,22,4,1,17,352,128,224,36.37,9
22,14,Team 002,22,2,2,18,345,101,244,29.28,6
22,15,Team 013,22,3,0,19,352,92,260,26.14,6
22,16,Team 016,22,1,2,19,352,83,269,23.58,4
23,1,Team 001,23,23,0,0,368,313,55,85.06,46
23,2,Team 012,23,17,2,4,368,222,146,60.33,36
23,3,Team 008,23,16,3,4,368,209,159,56.8,35
23,4,Team 011,23,15,4,4,368,231,137,62.78,34
23,5,Team 004,23,16,0,7,368,243,125,66.04,32
23,6,Team 003,23,14,2,7,368,226,142,61.42,30
23,7,Team 007,23,15,0,8,368,210,158,57.07,30
23,8,Team 014,23,12,5,6,361,202,159,55.96,29
23,9,Team 006,23,13,0,10,368,184,184,50.0,26
23,10,Team 005,23,8,3,12,368,182,186,49.46,19
23,11,Team 015,23,5,3,15,368,157,211,42.67,13
23,12,Team 010,23,6,1,16,368,136,232,36.96,13
23,13,Team 009,23,4,1,18,368,131,237,35.6,9
23,14,Team 002,23,2,2,19,361,105,256,29.09,6
23,15,Team 013,23,3,0,20,368,99,269,26.91,6
23,16,Team 016,23,1,2,20,368,87,281,23.65,4
24,1,Team 001,24,24,0,0,384,328,56,85.42,48
24,2,Team 012,24,17,2,5,384,229,155,59.64,36
24,3,Team 008,24,16,4,4,384,217,167,56.52,36
24,4,Team 011,24,15,5,4,384,239,145,62.24,35
24,5,Team 004,24,17,0,7,384,255,129,66.41,34
24,6,Team 003,24,15,2,7,384,235,149,61.2,32
24,7,Team 007,24,16,0,8,384,223,161,58.08,32
24,8,Team 014,24,12,5,7,377,206,171,54.65,29
24,9,Team 006,24,14,0,10,384,193,191,50.27,28
24,10,Team 005,24,9,3,12,384,195,189,50.79,21
24,11,Team 015,24,6,3,15,384,170,214,44.28,15
24,12,Team 010,24,6,1,17,384,139,245,36.2,13
24,13,Team 009,24,4,1,19,384,134,250,34.9,9
24,14,Team 002,24,2,2,20,377,112,265,29.71,6
24,15,Team 013,24,3,0,21,384,102,282,26.57,6
