index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
2059,HUNAM Personnel Solutions Korlátolt Felelősségű Társaság,website,"Manufacturing, Production",Quality Control,full time,1-3 years,"Pest_county,_Budapest",Sörtermelési technológus,optimum,,,english,higheradvanced
2060,Prizma Work Kft.,website,"HR, Human Relations","Recruitment, Selection",full time,3-5 years,"Pest_county,_Budapest",Toborzási és HR koordinátor,optimum,,,none,none
2061,Epta International Kft.,website,Skilled Labour,Air Conditioning Technician,full time,1-3 years,Pest_county,Hűtéstechnikai szerelő,pro_plus,,,none,none
2063,SSP Hungary Kft.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,not required,"Pest_county,_Budapest",Barista,start_prem,,,english,basic
2066,SSP Hungary Kft.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,1-3 years,"Pest_county,_Budapest",Barista (Starbucks),start_prem,,,english,basic
2067,SCHNEIDER ELECTRIC HUNGÁRIA Zrt.,website,"Transportation, Procurement, Logistics",Supply Chain,full time,1-3 years,"Pest_county,_Budapest",Replenishment Specialist,optimum,,,english,higheradvanced
2068,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
2069,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
2070,Budapest Főváros XII. kerület,website,"Building Industry, Real Estate",Technical Preparatory,full time,not required,"Pest_county,_Budapest",Mélyépítési ügyintéző,optimum,,,none,none
2071,AC Ready Kft.,website,Skilled Labour,Air Conditioning Technician,full time,1-3 years,Pest_county,Klímaszerelő - klíma telepítő,start,984848.0,2443.7915632754343,none,none
2072,SSP Hungary Kft.,website,Skilled Labour,Cook,full time,1-3 years,"Pest_county,_Budapest",Szakács,start_prem,,,none,none
2073,ECOOL Kft.,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,not required,"Pest_county,_Budapest",Kenőanyag szervízmunkatárs (Budapest XV.kerület),start,643939.0,1597.863523573201,none,none
2074,PIREX-98 Kft.,website,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Eladó-pénztáros (Mammut),start_prem,,,none,none
