index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
3254,Indotek Group,karrierlink,"Building Industry, Real Estate",Property Developer,full time,3-5 years,Pest_county,Műszaki lebonyolító projektvezető,optimum,,,none,none
3255,Menton Jobs,ats,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,1-3 years,Pest_county,Szállítmányozási koordinátor,optimum,,,none,none
3257,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
3258,Huawei Technologies Hungary Kft.,website,"IT Operation, Telecommunication",Telecommunication,full time,starter,"Pest_county,_Budapest",Junior DOC Engineer with English (Budapest),optimum,,,english,higheradvanced
3259,HUNGAROPHARMA Zrt,website,"Finance, Accounting",Financial Analyst,full time,1-3 years,"Pest_county,_Budapest",Árkalkulátor,normal,,,none,none
3260,KPMG Global Services Hungary Kft.,karrierlink,"Finance, Accounting",Project Management,full time,not required,"Pest_county,_Budapest",Project Management Trainee,optimum,,,english,intermediate
3261,Culina Hungary Kft.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,"Pest_county,_Budapest",Irodai adminisztrátor,optimum,,,english,intermediate
3263,TATA Consultancy Services Hungary,website,IT Development,"Programmer, Developer",full time,not required,Pest_county,Generative AI Intern,optimum,,,english,higheradvanced
3264,TATA Consultancy Services Hungary,website,IT Development,"Programmer, Developer",full time,not required,Pest_county,DevOps Engineer Intern,optimum,,,english,higheradvanced
3265,TATA Consultancy Services Hungary,website,IT Development,"Programmer, Developer",full time,not required,Pest_county,BackEnd Developer Intern,optimum,,,english,higheradvanced
3266,Adecco Kft.,website,"HR, Human Relations","HR Generalist, Specialist",full time,1-3 years,"Pest_county,_Budapest",HR Szolgáltatások Szenior Szakértő – FRANCIA nyelvtudással,normal,,,english,higheradvanced
3267,Mol - Új Európa Alapítvány,website,"Administration, Assistance, Office Work",Head of Office Administration,full time,3-5 years,"Pest_county,_Budapest",Irodavezető,optimum,,,english,intermediate
3268,Mol - Új Európa Alapítvány,website,"Finance, Accounting",Financial Assistant,full time,3-5 years,"Pest_county,_Budapest",Junior pénzügyi munkatárs,optimum,,,english,intermediate
3269,TARGET Hungária Kft.,website,"Corporate Leadership, Management",Head of Finances,full time,10+ years,"Pest_county,_Budapest",Finance Director Hungary,optimum,,,english,higheradvanced
3270,Szabó Krisztina,website,Skilled Labour,Mechanician,full time,1-3 years,Pest_county,"Tűzvédelmi és Biztonságtechnikai szerelő, telepítő",optimum,,,english,basic
3271,Serveone Hungary Kft.,website,"Transportation, Procurement, Logistics","Truck driver, Chauffeur, Courier",full time,3-5 years,Országos,Áruszállító,optimum,,,hungarian,nativespeaker
3272,Huawei Technologies Hungary Kft.,website,"IT Operation, Telecommunication",Telecommunication,full time,1-3 years,"Pest_county,_Budapest",Site Design Engineer (Revit),optimum,,,english,higheradvanced
3273,Adecco Kft.,website,Skilled Labour,"Storekeeper, Other depository skilled work",full time,3-5 years,"Pest_county,_Budapest",Raktáros műszakvezető,normal,,,none,none
3274,Nova Human Resources Kft.,website,IT Development,"Programmer, Developer",full time,3-5 years,"Pest_county,_Budapest",Frontend Fejlesztő (Angular),optimum,,,none,none
3275,Magyar Halászbástya Kft.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,1-3 years,"Pest_county,_Budapest",Pultos,start,825757.0,2049.024813895782,english,basic
3276,MKIFK Magyar Közlönykiadó és Igazságügyi Fordítóközpont Zrt.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,not required,"Pest_county,_Budapest",Tolmácsolási projektmenedzser,optimum,,,english,intermediate
3277,SZAKURA OTTHON Kft - Otthon Centrum,website,"Sales, Trade",Real Estate Agent,full time,not required,"Pest_county,_Budapest",Ingatlanértékesítő,optimum,,,none,none
3279,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
3280,Nova Human Resources Kft.,website,IT Development,"IT Consultant, Analyst, Auditor",full time,3-5 years,"Pest_county,_Budapest",IT Business Analyst / System Analyst,optimum,,,none,none
3281,Huawei Technologies Hungary Kft.,website,"IT Operation, Telecommunication",Network and System Engineer,full time,1-3 years,"Pest_county,_Budapest",Site Design Engineer (FTTX),optimum,,,english,higheradvanced
3282,DAKO kft,website,"Finance, Accounting",Financial Assistant,full time,3-5 years,"Pest_county,_Budapest",Pénzügyi-számviteli asszisztens,optimum,,,none,none
3283,CBA L és F Kft.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,"Pest_county,_Budapest",Adminisztrátor (X. kerület),optimum,,,none,none
3284,Khaleesi Kontroll Könyvelő Kft.,website,"Finance, Accounting",Accounting,full time,5-10 years,"Pest_county,_Budapest",Mérlegképes könyvelő,optimum,,,none,none
3285,Emirates,karrierlink,"Marketing,  Media, PR",Market Research Analyst,full time,1-3 years,"Pest_county,_Budapest",Direct Entry Captain,optimum,,,english,higheradvanced
3286,PERFECT-WELDING TEAM Kft.,website,Skilled Labour,Welder,full time,1-3 years,"Pest_county,_Budapest",Hegesztő,optimum,,,none,none
3287,Cognizant Technology Solutions Hungary Kft.,website,"Healthcare, Pharmaceutical Industry",Healthcare Specialist,full time,3-5 years,"Pest_county,_Budapest",German speaking Pharmacovigilance Team Lead,pro_plus,,,english,higheradvanced
3288,Huawei Technologies Hungary Kft.,website,"IT Operation, Telecommunication",Network and System Engineer,full time,1-3 years,"Pest_county,_Budapest",Wireless Engineer,optimum,,,english,intermediate
3289,BT ROC Kft.,website,"IT Operation, Telecommunication",Telecommunication,full time,1-3 years,"Pest_county,_Budapest",Technical Professional (2nd level),optimum,,,english,higheradvanced
3290,Fitoland Kft,website,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Kertészeti - faiskolai eladó,start_prem,,,none,none
3291,Huawei Technologies Hungary Kft.,website,"IT Operation, Telecommunication",Network and System Engineer,full time,3-5 years,"Pest_county,_Budapest",IP Enterprise Campus Network Engineer,optimum,,,english,higheradvanced
3293,MKIFK Magyar Közlönykiadó és Igazságügyi Fordítóközpont Zrt.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,not required,"Pest_county,_Budapest",Fordítási projektmenedzser,optimum,,,english,intermediate
3294,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,karrierlink,Skilled Labour,"Driver, Chauffeur, Courier",full time,10+ years,"Pest_county,_Budapest",Felsővezetői sofőr,optimum,,,english,basic
3295,NEDA-BAU Kft,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Raktáros - Árukiadó,start_prem,500500.0,1241.9354838709678,none,none
3296,Dr. Varga István Ügyvédi Iroda,website,"Law, Legal Advisory",Junior Lawyer,full time,starter,Budapest,Ügyvédjelölt,optimum,,,english,higheradvanced
3297,UNI Smart Iskolaszövetkezet,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,not required,"Pest_county,_Budapest",Szobaasszony/ Takarító,normal,395304.0,980.9032258064516,none,none
3298,Fusion Befektetési Zrt.,website,"Building Industry, Real Estate",Facility Manager,full time,5-10 years,"Pest_county,_Budapest",Facility manager,optimum,,,english,intermediate
3299,Emirates,karrierlink,"Transportation, Procurement, Logistics",Aviation,full time,1-3 years,"Pest_county,_Budapest",Accelerated Command,optimum,,,english,higheradvanced
3301,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
3303,MICANI Kft.,website,"Catering, Hotel, Tourism","Head of Catering, Head of Tourism",full time,1-3 years,"Pest_county,_Budapest",Étterem üzletvezető,optimum,,,english,basic
3304,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,karrierlink,"Building Industry, Real Estate","Land-measuring, Geodesy",full time,5-10 years,Budapest,Reservoir Geologist,optimum,,,english,higheradvanced
3305,SBA Group Zrt.,website,IT Development,"Programmer, Developer",full time,3-5 years,Budapest,Senior front-end fejlesztő,pro_plus,,,none,none
3306,Mercarius Flottakezelő Kft.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,1-3 years,"Pest_county,_Budapest",Munkafelvevő/Szerviztanácsadó,optimum,,,none,none
3308,Mind-Diák Szövetkezet,ats,Skilled Labour,"Shop Assistant, Cashier",full time,not required,Pest_county,Beszerzési gyakornok - Diákmunka,normal,352800.0,875.4342431761787,english,intermediate
3309,CARGORENT Kft.,website,"Finance, Accounting",Financial Assistant,full time,10+ years,"Pest_county,_Budapest",Pénzügyi adminisztrátor,optimum_complex,,,none,none
3310,Emirates,karrierlink,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",First Officer,optimum,,,english,higheradvanced
3311,Aeroplex Közép-Európai Légijármű Műszaki Központ Kft.,karrierlink,"Finance, Accounting",Corporate Treasurer,full time,3-5 years,"Pest_county,_Budapest",Treasury Kontroller,optimum,,,english,intermediate
3312,Yettel Hungary,karrierlink,"IT Operation, Telecommunication",Telecommunication,full time,starter,"Pest_county,_Budapest",Sales Representative (Értékesítési Munkatárs) - Budapest,pro_plus,,,none,none
3313,MP Solutions Kft.,karrierlink,"Finance, Accounting",Tax Advisor,full time,1-3 years,Pest_county,Adótanácsadó (Társasági Adó),normal,,,english,intermediate
3314,MP Solutions Kft.,karrierlink,"Finance, Accounting","Auditor, Internal Auditor",full time,5-10 years,Pest_county,Audit Manager,normal,,,english,intermediate
3315,FoxPost Zrt.,karrierlink,"Sales, Trade",Sales Representative,full time,3-5 years,"Pest_county,_Budapest",Hunter sales munkatárs,pro_plus,,,english,higheradvanced
3316,BAU-STYL KFT.,website,"Finance, Accounting",Controlling,full time,3-5 years,Országos,Kontroller,normal,,,none,none
3317,profession.hu Kft.,website,"Sales, Trade",Telesales Agent,full time,1-3 years,"Pest_county,_Budapest",Telefonos Értékesítő (új ügyfélszerzés),pro_plus,393000.0,975.1861042183623,none,none
3318,MBH Bank Nyrt.,karrierlink,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,starter,Pest_county,Bankkártya operációs munkatárs,optimum,,,none,none
3319,MVM Lumen Kft.,karrierlink,"Sales, Trade","Engineer, Technical Sales Representative",full time,not required,Pest_county,Frissdiplomás világítástechnikai szakértő,optimum,,,none,none
3320,MBH Bank Nyrt.,karrierlink,"Bank, Insurance, Brokering","Bank, Insurance, Stock Exchange Leader",full time,1-3 years,Pest_county,Szenior változásvezető - Operáció,optimum,,,none,none
3321,Pillér Nonprofit Kft,karrierlink,IT Development,"Programmer, Developer",full time,not required,"Pest_county,_Budapest",Mobil alkalmazásfejlesztő,optimum,,,hungarian,nativespeaker
3322,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3325,MVM XPert Zrt.,karrierlink,"Transportation, Procurement, Logistics",Logistics administrator,full time,5-10 years,Pest_county,Műszaki menedzsment projekt koordinátor,optimum,,,none,none
3326,MVM XPert Zrt.,karrierlink,Engineer,Architect,full time,3-5 years,Országos,Távvezetéki építésvezető,optimum,,,none,none
3327,VBH Budapest Kft,website,"Client Services, Customer Services",Personal Costumer Service,full time,1-3 years,"Pest_county,_Budapest",Belső értékesítő,normal,465000.0,1153.8461538461538,none,none
3328,IKEA LAKBERENDEZÉSI KFT.,karrierlink,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Eladó munkatárs - Nappali és Irodabútor osztály - Budapest (Soroksár),optimum,,,hungarian,nativespeaker
3329,IKEA LAKBERENDEZÉSI KFT.,karrierlink,Skilled Labour,Carpenter,full time,1-3 years,"Pest_county,_Budaörs",Konyhabútor beépítő asztalos - Budaörs,pro_plus,,,hungarian,nativespeaker
3330,DPD Hungary Kft.,karrierlink,Engineer,Environmental Engineer,full time,5-10 years,"Pest_county,_Budapest",Fenntarthatósági program szakértő,pro_plus,,,english,higheradvanced
3331,Ganz Transzformátor- és Villamos Forgógépgyártó Kft.,karrierlink,"Transportation, Procurement, Logistics","Economization, Procurement",full time,1-3 years,Pest_county,Indirekt stratégiai beszerző,optimum,,,english,nativespeaker
3332,CRITERION Biztonságtechnikai Zrt.,karrierlink,Engineer,Special Engineering Areas,full time,1-3 years,Pest_county,Gyengeáramú ajánlatkészítő,optimum,,,english,intermediate
3333,CRITERION Biztonságtechnikai Zrt.,karrierlink,Engineer,Project Management,full time,1-3 years,Pest_county,Gyengeáramú tervezőmérnök,optimum,,,english,intermediate
3334,Budapesti Corvinus Egyetem,karrierlink,"Education, Science, Sports",Learning and Development Coordinator,full time,1-3 years,Pest_county,Hálózati- és folyamat koordinátor,optimum,,,english,intermediate
3335,NMHH Nemzeti Média- és Hírközlési Hatóság,karrierlink,IT Development,System Manager,full time,5-10 years,Budapest,Rendszerszervező,optimum,,,none,none
3336,MOL Nyrt.,karrierlink,"Manufacturing, Production","Product Development, Design",full time,5-10 years,"Pest_county,_Budapest",Reservoir engineer,optimum,,,english,intermediate
3337,MOL Nyrt.,karrierlink,Engineer,Project Management,full time,starter,"Pest_county,_Budapest",Fuel Supply/Sales,optimum,,,english,intermediate
3338,MOL Nyrt.,karrierlink,"Sales, Trade","Engineer, Technical Sales Representative",full time,3-5 years,"Pest_county,_Budapest",Operations Geologist,optimum,,,english,intermediate
3339,MOL Nyrt.,karrierlink,Engineer,Chemical Engineer,full time,starter,"Pest_county,_Budapest",Chemicals Business Intelligence Analyst,optimum,,,english,intermediate
3340,MOHU BUDAPEST Zrt.,website,"Manual Work, Unskilled Work, Trained Work",Other Manual Work,full time,not required,"Pest_county,_Budapest",Hulladékválogató,optimum,,,none,none
3341,ASTURIS Kft,website,"Building Industry, Real Estate",Technical Preparatory,full time,1-3 years,"Pest_county,_Budapest",Műszaki előkészítő/munkahelyi mérnök,pro_plus,,,none,none
3342,eNET Magyarország Kft,website,IT Development,"IT Consultant, Analyst, Auditor",full time,1-3 years,"Pest_county,_Budapest","Tanácsadó, elemzői készségekkel",optimum,,,english,intermediate
3343,Puro Hotels Sp. z o.o.,karrierlink,"Building Industry, Real Estate",Building Maintanance,full time,5-10 years,"Pest_county,_Budapest",Site Foreman,optimum,,,english,higheradvanced
3344,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3347,bp Finance Business & Technology (FBT),karrierlink,"Finance, Accounting","Analyst, Advisor",full time,1-3 years,"Pest_county,_Budapest",Ship Tracking Senior Analyst (Fixed term),optimum,,,english,higheradvanced
3348,AdaptEdge Consulting Kft.,website,"IT Operation, Telecommunication","System operator, Maintenance Staff",full time,not required,"Pest_county,_Budapest",IT operátor,optimum,,,none,none
3349,Bv. Holding Kft.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Kiskereskedelmi bolti eladó,start_prem,510000.0,1265.5086848635235,none,none
3350,"Arrow Electronics, Inc.",karrierlink,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Internal Sales Representative,optimum,,,english,higheradvanced
3351,PEKÁR ÉPÜLETGÉPÉSZETI Kft.,website,"Building Industry, Real Estate",Building Mechanical Engineer,full time,1-3 years,"Pest_county,_Budapest",Épületgépész technikus/ Műszaki előkészítő,optimum,,,none,none
3352,Na-Ti Trade Kft,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Raktáros - üzemi konyhára,start_prem,,,none,none
3353,BEKO Engineering KFT.,karrierlink,"Sales, Trade","Engineer, Technical Sales Representative",full time,1-3 years,"Pest_county,_Budapest",Műszaki értékesítési mérnök (Villamosmérnök terület),optimum,,,english,intermediate
3354,Culinaris Retail Kft.,website,"Sales, Trade","Merchant, Shop Assistant",full time,not required,Pest_county,Csemegepultos,optimum,,,none,none
3355,ACCOR-PANNONIA HOTELS ZRT. IBIS BUDAPEST,karrierlink,"Catering, Hotel, Tourism","Tourism, Tour Operation",full time,1-3 years,"Pest_county,_Budapest",Szállodai recepciós,optimum,,,english,intermediate
3356,ALTEO Nyrt.,karrierlink,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,10+ years,"Pest_county,_Budapest",Flottamenedzser,optimum,,,none,none
3357,MOHU BUDAPEST Zrt.,website,"Manufacturing, Production",Supervisor,full time,1-3 years,"Pest_county,_Budapest",Műszakvezető,optimum,,,none,none
3358,ENLOYD Kft.,website,"Transportation, Procurement, Logistics",Fleet Manager,full time,1-3 years,"Pest_county,_Budapest",Flottakezelési munkatárs,optimum,,,none,none
3359,ArrivaBus Kft.,karrierlink,"Finance, Accounting",Controlling,full time,1-3 years,"Pest_county,_Budapest",Műszaki kontroller,optimum,,,english,intermediate
3360,Previo.hu Kft.,website,"Catering, Hotel, Tourism","Tourism, Tour Operation",full time,1-3 years,"Pest_county,_Budapest",Support specialist,optimum,700000.0,1736.9727047146403,english,intermediate
3361,OTP Bank Nyrt.,karrierlink,IT Development,"Programmer, Developer",full time,1-3 years,"Pest_county,_Budapest",Compliance módszertani tanácsadó,optimum,,,english,higheradvanced
3362,GRUNDFOS SHARED SERVICES KFT.,karrierlink,"Sales, Trade",Business (Intelligence) Developer,full time,10+ years,"Pest_county,_Budapest",S2P Program Manager,optimum,,,english,intermediate
3363,Pedrano Házépítő Kft.,karrierlink,"Building Industry, Real Estate","Building Industry, Head of Real Estate",full time,5-10 years,"Pest_county,_Budapest",Építésvezető (lakóingatlan),optimum,,,none,none
3364,SSP Hungary Kft.,website,"Catering, Hotel, Tourism",Restaurant Catering,full time,1-3 years,"Pest_county,_Budapest","Supervisor (kávézóba, étterembe)",optimum,,,english,intermediate
3365,NEO Property Services Zrt.,website,"Building Industry, Real Estate",Facility Manager,full time,not required,"Pest_county,_Budapest","Közös képviselő, társasházkezelő (Budapest)",optimum,,,none,none
3366,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3368,Diebold Nixdorf Kft.,karrierlink,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Client Project Manager,optimum,,,english,intermediate
3369,Panna Cocktail Kft.,website,"Sales, Trade",Regional Sales Representative,full time,3-5 years,Országos,Területi értékesítési képviselő,optimum,,,none,none
3370,Nemzeti Népegészségügyi és Gyógyszerészeti Központ,website,"Client Services, Customer Services",Call Center Services,full time,not required,"Pest_county,_Budapest",Contact center munkatárs,optimum,,,none,none
3372,bp Finance Business & Technology (FBT),karrierlink,Business Supporting Centres,"Client Support, Administration",full time,3-5 years,"Pest_county,_Budapest",Bill Of Materials Analyst,optimum,,,english,intermediate
3373,Pedrano Homes Kft.,karrierlink,Engineer,Electrical Engineer,full time,5-10 years,"Pest_county,_Budapest",Épületvillamossági műszaki projektmenedzser (lakóingatlan),optimum,,,none,none
3374,bp Finance Business & Technology (FBT),karrierlink,"Sales, Trade",Sales Representative,full time,3-5 years,"Pest_county,_Budapest",Export Administrator,optimum,,,english,higheradvanced
3375,MEDIATOR GROUP Kft.,website,"Marketing,  Media, PR",Project Manager,full time,1-3 years,"Pest_county,_Budapest",Account manager,pro_plus,,,english,intermediate
3377,Four Seasons Hotel,website,"Marketing,  Media, PR","Host, hostess",full time,not required,"Pest_county,_Budapest",Host/Hostess,start_prem,,,english,higheradvanced
3378,Four Seasons Hotel,website,"Manual Work, Unskilled Work, Trained Work",Kitchen Work,full time,not required,"Pest_county,_Budapest",Mosogató,start_prem,,,none,none
3379,Four Seasons Hotel,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,not required,"Pest_county,_Budapest",Szobatakarító,start_prem,,,none,none
3380,Focus Consulting Kft.,karrierlink,"HR, Human Relations",HR Administration,full time,not required,"Pest_county,_Budapest",German speaking HR Administration Specialist [BC-RELM25],optimum,,,english,higheradvanced
3381,BUS-SERVICE KFT,karrierlink,Engineer,Electrical Engineer,full time,5-10 years,"Pest_county,_Budapest",Műhelyvezető,normal,,,english,intermediate
3382,Új Világ Nonprofit Szolgáltató Kft.,website,"Finance, Accounting",Controlling,full time,3-5 years,"Pest_county,_Budapest",Kontroller,optimum,,,none,none
3383,Bartistic-Gastro Kft.,website,"Catering, Hotel, Tourism","Head of Catering, Head of Tourism",full time,3-5 years,"Pest_county,_Budapest",Éttermi Üzletvezető,optimum,,,english,intermediate
3384,Drive Home Premium Kft.,website,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,1-3 years,"Pest_county,_Budapest",Fuvarszervező asszisztens,optimum,446969.0,1109.1042183622828,none,none
3385,TSM Vendéglátóipari Kft.,website,"Catering, Hotel, Tourism",Restaurant Catering,full time,1-3 years,"Pest_county,_Budapest",Éttermi Üzletvezető,optimum,,,english,intermediate
3386,Richter Gedeon Nyrt.,karrierlink,Engineer,Chemical Engineer,full time,1-3 years,"Pest_county,_Budapest",Kutató-fejlesztő gyógyszertechnológus,optimum,,,english,intermediate
3387,Visit Hungary Nonprofit Zrt.,karrierlink,IT Development,Database Expert,full time,1-3 years,Budapest,Mesterséges intelligencia (AI) szakértő,optimum,,,none,none
3388,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3390,Equality Management Kft.,website,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Értékesítési és Ügyfélkapcsolati Munkatárs,optimum_complex,,,english,intermediate
3391,3F Project Kft.,website,"Sales, Trade","Engineer, Technical Sales Representative",full time,3-5 years,"Pest_county,_Budapest",Műszaki koordinátor-Projekt menedzser,optimum_complex,1136363.0,2819.7593052109182,none,none
3392,Flextronics International Kft.,website,"Manual Work, Unskilled Work, Trained Work","Packing, Restocking",full time,1-3 years,Budapest,Hibakereső-Javító Operátor,optimum,,,none,none
3393,Visit Hungary Nonprofit Zrt.,karrierlink,IT Development,"IT Consultant, Analyst, Auditor",full time,3-5 years,"Pest_county,_Budapest",Folyamatoptimalizálási szakértő,optimum,,,none,none
3394,duplaW Kft.,website,"Catering, Hotel, Tourism",Events,full time,1-3 years,"Pest_county,_Budapest",Event - boutique hotel coordinator,optimum,,,english,higheradvanced
3395,OTP Bank Nyrt.,karrierlink,"Bank, Insurance, Brokering",Analysis,full time,not required,"Pest_county,_Budapest",Privátbanki back office szakértő,pro_plus,,,none,none
3396,OTP Bank Nyrt.,karrierlink,IT Development,"Tester, Test Engineer",full time,1-3 years,"Pest_county,_Budapest",Tesztautomatizáló szakértő,pro_plus,,,none,none
3397,REBOUND ELECTRONICS Magyarországi,website,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Sales manager,optimum_complex,,,english,intermediate
3398,B+N Referencia Zrt.,ats,"Building Industry, Real Estate",Building Mechanical Engineer,full time,3-5 years,Pest_county,"Területi vezető (Budapest, XIII.kerület)",optimum,,,none,none
3399,B+N Referencia Zrt.,ats,"Building Industry, Real Estate",Property Manager,full time,3-5 years,"Pest_county,_Budapest",Üzemeltetési koordinátor (XIII.kerület),optimum,,,none,none
3400,IT-BUSINESS Publishing Kft.,website,"Marketing,  Media, PR",Event Coordinator,full time,1-3 years,"Pest_county,_Budapest",Rendezvényszervező és social media munkatárs,optimum,,,english,intermediate
3401,KONE Felvonó Kft.,website,"Manufacturing, Production","Repairman, Service Representative",full time,1-3 years,Pest_county,Felvonó karbantartó,optimum,,,none,none
3402,Körös-Consult Zrt.,website,"Building Industry, Real Estate",Building Mechanical Engineer,full time,1-3 years,"Pest_county,_Budapest",Épületgépész tervező,optimum,,,english,intermediate
3404,Bernecker Építőipari- Fővállalkozó Zártkörűen Működő Részvénytársaság,website,"Building Industry, Real Estate","Building Industry, Head of Real Estate",full time,3-5 years,Pest_county,Építésvezető,optimum,,,none,none
3405,Chef Market Zrt.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Áruátvételi munkatárs,start_prem,553030.0,1372.2828784119106,none,none
3406,PEARL HUNGARY Kft.,website,"Healthcare, Pharmaceutical Industry","Medical, Pharmaceutical Manager",full time,not required,"Pest_county,_Budapest",Telefonos orvoslátogató – Medical Sales Representative,optimum,,,none,none
3407,Grafton Recruitment,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,Pest_county,Projekt adminisztrátor,normal,,,english,higheradvanced
3408,GRÁNIT Bank Nyrt.,website,"Bank, Insurance, Brokering",Bank Security,full time,3-5 years,"Pest_county,_Budapest",Bankbiztonsági munkatárs,optimum,,,none,none
3409,MAVIR Zrt.,ats,"Building Industry, Real Estate",Project Management,full time,starter,Pest_county,Tesztmenedzser,normal,,,none,none
3410,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3412,Electron Holding Zrt.,website,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Könyvelő,optimum,,,none,none
3414,Városliget Zrt.,karrierlink,"Administration, Assistance, Office Work",Receptionist,full time,1-3 years,"Pest_county,_Budapest","Titkársági munkatárs, recepciós",optimum,,,english,intermediate
3416,Cordia Management Kft.,karrierlink,"Administration, Assistance, Office Work",Receptionist,full time,1-3 years,"Pest_county,_Budapest",Recepciós,optimum,,,english,intermediate
3417,OTP Bank Nyrt.,karrierlink,IT Development,"IT Consultant, Analyst, Auditor",full time,1-3 years,"Pest_county,_Budapest",Internal IT Auditor,pro_plus,,,english,intermediate
3418,Inter Cars Hungária Kft.,website,"Sales, Trade",Regional Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Területi képviselő,optimum,,,none,none
3419,Budapest Főváros IV. Kerület Újpest,website,"Finance, Accounting",Financial Assistant,full time,not required,"Pest_county,_Budapest",Költségvetési ügyintéző,optimum,,,none,none
3420,Szépművészeti Múzeum,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,1-3 years,"Pest_county,_Budapest",Takarító/takarítónő (rész-és teljes munkaidős),optimum,,,none,none
3421,Sirowa Hungary Kft.,website,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Retail and Consumer Engagement Specialist,optimum,,,english,basic
3424,HUMDA Magyar Mobilitás-fejlesztési Ügynökség Zrt.,website,"Law, Legal Advisory","Solicitor, Legal Advisor, Legal Counsellor",full time,3-5 years,"Pest_county,_Budapest",Jogász,optimum,,,english,intermediate
3425,Merkantil Bank Zrt.,website,"Bank, Insurance, Brokering",Financing,full time,1-3 years,"Pest_county,_Budapest",Portfólió-kezelő munkatárs,optimum,,,none,none
3426,NEO Property Services Zrt.,website,"Manual Work, Unskilled Work, Trained Work","Housekeeper, Janitor, Daily Maid",full time,1-3 years,"Pest_county,_Budapest",Társasházi gondnok,optimum,,,none,none
3427,Energiaügyi Minisztérium,website,"Environment, Agriculture","Environmental Protection, Water Management",full time,not required,"Pest_county,_Budapest",Víziközmű referens,optimum,,,none,none
3428,Gold Standard Diagnostics Budapest Kft,website,Engineer,Quality Assurance Engineer,full time,3-5 years,"Pest_county,_Budapest",Minőségbiztosítási specialista (ellátási lánc területre),optimum,,,english,higheradvanced
3429,BKV Zrt.,karrierlink,Skilled Labour,Electrician,full time,not required,"Pest_county,_Budapest",Kábelszerelő,start_prem,,,none,none
